Ticker,Name,Sector,Industry,Score,Action,Composite_Flag,Moat_Score,Moat_Label,Price,Analyst_Target,Analyst_Upside,Analyst_Count,Mkt_Cap,PE_Fwd,PS,PB,PEG,EV_EBITDA,ROE,Rev_Growth,Rev_Growth_Prev,Gross_Margin,Op_Margin,Profit_Margin,FCF_Yield,EPS_Growth,EPS_Surprise,From_Low_Pct,From_High_Pct,Debt_Equity,Beta,Short_Float,Inst_Own,Insider_Buy_Pct,Div_Yield,Payout_Ratio,ROA,Current_Ratio,MA200,Vs_MA200
PDD,PDD Holdings Inc.,Consumer Cyclical,Internet Retail,78.3,STRONG BUY,⭐ Compounder · 💎 Deep Value · 📈 Analyst Conviction,84.0,Wide,103.73,149.39,44.02,35.0,$147.3B,8.29,0.35,2.54,0.48,1.8,31.0,9.0,-5.99,56.65,23.11,24.44,59.39,17.4,,19.08,-25.59,0.03,-0.01,3.35,33.02,,,,10.7,2.35,116.09,-10.65
KGC,Kinross Gold Corporation,Basic Materials,Gold,78.0,STRONG BUY,⭐ Compounder · 🚀 Accel Growth · 💎 Deep Value · 💰 Income,86.0,Wide,36.99,39.98,8.08,11.0,$44.6B,11.9,6.33,5.17,0.05,10.35,31.0,42.9,20.34,66.72,49.17,33.9,5.39,228.9,,254.99,-5.42,0.09,1.26,,66.21,,36.0,6.41,16.71,2.35,23.55,57.07
TSM,Taiwan Semiconductor Manufactur,Technology,Semiconductors,77.5,BUY,⭐ Compounder · 💎 Deep Value · 💰 Income,85.0,Wide,374.58,421.49,12.52,18.0,$1.9T,20.84,0.51,56.06,0.6,2.97,35.0,20.5,17.95,59.89,53.92,45.1,33.12,35.0,,179.02,-4.01,0.2,1.27,0.38,15.79,,94.0,28.73,16.56,2.62,273.34,37.04
NVDA,NVIDIA Corporation,Technology,Semiconductors,77.2,BUY,🚀 Accel Growth · 📈 Analyst Conviction · ⚠️ High Beta,84.5,Wide,177.19,263.39,48.65,58.0,$4.3T,16.62,19.94,27.38,0.18,31.93,101.0,73.2,29.38,71.07,65.02,55.6,1.35,94.5,,104.56,-16.49,0.07,2.31,1.09,69.65,100.0,2.0,0.82,51.19,3.9,174.96,1.27
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,74.8,BUY,💎 Deep Value · ⚠️ High Leverage,76.5,Wide,22.57,32.55,44.22,10.0,$13.9B,7.86,2.94,5.87,0.38,10.69,27.0,25.8,20.79,78.84,35.81,12.76,9.46,20.8,,5.81,-29.95,3.63,1.1,4.71,90.75,100.0,222.0,51.55,7.17,0.47,27.72,-18.58
APAM,Artisan Partners Asset Manageme,Financial Services,Asset Management,74.1,BUY,⭐ Compounder · 💎 Deep Value · 💰 Income,76.5,Wide,40.28,42.75,6.13,4.0,$2.8B,9.37,2.37,6.47,0.26,7.92,49.0,12.9,-4.81,45.75,39.2,24.26,6.81,36.0,,22.99,-16.95,0.4,1.76,12.8,94.98,100.0,819.0,77.28,15.63,3.24,43.81,-8.06
QLYS,"Qualys, Inc.",Technology,Software - Infrastructure,74.1,BUY,⭐ Compounder · 💎 Deep Value · 📈 Analyst Conviction · ⚠️ Below 200 DMA,92.5,Wide,92.47,138.53,49.81,19.0,$3.3B,11.59,4.99,5.89,0.55,12.29,38.0,10.1,3.06,82.85,33.57,29.64,7.76,20.9,,8.61,-40.52,0.09,0.57,11.84,103.85,100.0,,,13.41,1.41,133.7,-30.84
AVGO,Broadcom Inc.,Technology,Semiconductors,74.1,BUY,📈 Analyst Conviction,72.5,Narrow,319.55,455.1,42.42,45.0,$1.5T,22.01,23.71,5.4,0.13,4.59,31.0,16.4,6.95,77.33,31.76,36.2,1.65,172.7,,131.39,-22.93,1.66,1.22,1.19,79.28,100.0,81.0,49.48,9.79,1.71,318.42,0.35
ADBE,Adobe Inc.,Technology,Software - Application,73.8,BUY,⭐ Compounder · 💎 Deep Value · 📈 Analyst Conviction · ⚠️ Below 200 DMA,91.0,Wide,262.41,408.47,55.66,33.0,$109.8B,9.94,4.62,9.32,0.97,11.66,55.0,10.5,4.8,89.27,36.5,30.0,8.02,10.3,,7.42,-42.11,0.57,1.51,3.02,86.95,100.0,,,18.22,1.0,346.39,-24.24
AU,AngloGold Ashanti PLC,Basic Materials,Gold,73.5,BUY,🚀 Accel Growth · 💎 Deep Value · 💰 Income,78.0,Wide,127.77,122.0,-4.52,7.0,$64.5B,14.16,6.52,7.98,0.17,12.79,34.0,75.3,39.71,49.27,47.16,26.65,3.32,81.9,,336.37,-0.6,0.23,0.62,1.15,81.48,95.0,333.0,48.65,18.69,2.87,70.76,80.57
